id,name,type,skill_summary,lineups,avatar,portrait,skillEvidence,version,source,source_url
player-ali,阿离,棋手,技能「枫叶舞」：本批卡图已核对四张翩跃舞步强化牌：围绕转移后的恢复、追加转移、击败成长与攻击力成长展开。 秘技「惊鸿游龙」：枫叶舞指定的英雄击败3/7/11/15名敌方英雄，获得1张秘技牌翩跃舞步，并为枫叶舞解锁1项特性。 六级天赋「即刻起舞」：本批卡图已核对三张天赋强化：落英汲取、枫之洪流、翩跃馈赠。,,https://assets.wanxiangqiwiki.com/assets/players/阿离_棋手头像.jpg,https://assets.wanxiangqiwiki.com/assets/players/阿离_棋手立绘.jpg,用户提供的游戏卡图 · 2026-08-11 逐张核对,棋手资料 2026-07-13 至 2026-08-20（wiki chessplayerFacts）,wanxiangqiwiki.com chessplayerFacts,https://wanxiangqiwiki.com
player-angel,安琪拉,棋手,被动「特制灵异追踪器」：获得飞行器；棋手等级达到3时，获得1张顿悟时刻。 秘技「驱鬼！加大力度！」：累计获得5/10/20/35点神秘力量，获得1张秘技牌灵异探测大改装。 六级天赋「超级连接」：获得1张灵异探测大改装。战斗开始时，飞行器连接的英雄会随机获得自身10%-40%等级数的临时等级。,,https://assets.wanxiangqiwiki.com/assets/players/安琪拉_棋手头像.jpg,https://assets.wanxiangqiwiki.com/assets/players/安琪拉_棋手立绘.jpg,用户提供的游戏卡图 · 2026-08-14 逐张核对,棋手资料 2026-07-13 至 2026-08-20（wiki chessplayerFacts）,wanxiangqiwiki.com chessplayerFacts,https://wanxiangqiwiki.com
player-qiaoxi,乔汐,棋手,技能「温柔呼唤」：使用技能，随机获得1张1-5阶的转瞬英雄牌。 秘技「海的拥抱·秘技」：每经过4个回合，获得1张秘技牌潮汐的交响。 秘技牌「潮汐的交响」：场上随机5名英雄等级+8。 专属「潮起潮落」：开战时，随机传送1个100级的英雄进入战场（不含卡牌效果），传送等级每回合+40。,,https://assets.wanxiangqiwiki.com/assets/players/乔汐_棋手头像.jpg,https://assets.wanxiangqiwiki.com/assets/players/乔汐_棋手立绘.jpg,官网事实 · 2026-08-20 体验服公告；卡面为用户提供的本地素材,棋手资料 2026-07-13 至 2026-08-20（wiki chessplayerFacts）,wanxiangqiwiki.com chessplayerFacts,https://wanxiangqiwiki.com
player-wufeng,武凤,棋手,技能「门庭赫奕」：武凤在比赛开始时，额外拥有3能量；每次拍卖后，再次获得3能量。 任务「众心所归」：每使用45能量，获得1张秘技牌为我所用。 秘技牌「为我所用」：随机获得本局其它棋手的1张秘技牌。 天赋「万鸟朝凤」：随机从3个棋手的秘技牌中选1张。 可获得秘技「可获得其他棋手的秘技」：通过“为我所用”或“万鸟朝凤”可随机获得的其他棋手秘技牌池。以下为当前已整理并附有卡面的可获得牌，不属于武凤自身固定技能。,,https://assets.wanxiangqiwiki.com/assets/players/武凤_棋手头像.jpg,https://assets.wanxiangqiwiki.com/assets/players/武凤_棋手立绘.jpg,官网事实 · 2026-08-20 体验服公告；卡面为用户提供的本地素材,棋手资料 2026-07-13 至 2026-08-20（wiki chessplayerFacts）,wanxiangqiwiki.com chessplayerFacts,https://wanxiangqiwiki.com
player-jiangdao,姜导,棋手,技能「钦定主角」：使用技能，指定1名英雄成为主角，获得效果： 每打出2张英雄或效果牌，等级+1（每回合最多+5）。 秘技「封神时刻·秘技」：己方英雄首次升到25级，获得1张秘技牌封神一瞬。 秘技牌「封神一瞬」：指定1名英雄，使其每次等级永久提升时，都额外+1级。 专属「完美演出」：封神一瞬指定的英雄在战斗开始时获得 30% 物理和法术吸血，并在 15 秒内免疫控制效果（压制除外）。,,https://assets.wanxiangqiwiki.com/assets/players/姜导_棋手头像.jpg,https://assets.wanxiangqiwiki.com/assets/players/姜导_棋手立绘.jpg,官网事实 · 2026-07-13 棋手技能介绍,棋手资料 2026-07-13 至 2026-08-20（wiki chessplayerFacts）,wanxiangqiwiki.com chessplayerFacts,https://wanxiangqiwiki.com
player-yinglv,嬴律,棋手,技能「最高决策者」：比赛开始时，嬴律获得1张战略决策。 在第一次发布至高决策后，可以再获得1张。 技能效果「战略决策」：挑选1个战略决策，嬴律本场比赛获得此效果。 秘技「至高之主」：每经过5个回合，获得1张秘技牌至高决策。 秘技牌「至高决策」：嬴律从4个至高决策中选择1个颁布，对全场所有玩家生效，持续3个回合。 专属「特权决策」：选择1个特权决策颁布，对所有玩家生效，并且自己额外享受特权效果。,,https://assets.wanxiangqiwiki.com/assets/players/嬴律_棋手头像.jpg,https://assets.wanxiangqiwiki.com/assets/players/嬴律_棋手立绘.jpg,官网事实 · 2026-07-13 棋手技能介绍,棋手资料 2026-07-13 至 2026-08-20（wiki chessplayerFacts）,wanxiangqiwiki.com chessplayerFacts,https://wanxiangqiwiki.com
player-sunxiaobin,孙小宾,棋手,技能「时光倒流」：使用技能，孙小宾回溯上回合使用过的英雄牌（非觉醒） 和效果牌，随机触发其中1张。 秘技「时间魔法·秘技」：首次单回合使用8张英雄或效果牌，获得1张秘技牌时之回环。 秘技牌「时之回环」：使用后，记录你从现在开始使用的所有非觉醒英雄牌和效果牌 （最多8张），并在下回合开始时， 再次触发这些卡牌。 专属「时光宝藏」：获得一张更强力的永恒时之回环， 可以记录12张英雄牌或效果牌。 专属效果「永恒时之回环」：使用后，记录你从现在开始使用的所有非觉醒英雄牌 和效果牌(最多12张)，并在下回合开始时， 再次触发这些卡牌。,,https://assets.wanxiangqiwiki.com/assets/players/孙小宾_棋手头像.jpg,https://assets.wanxiangqiwiki.com/assets/players/孙小宾_棋手立绘.jpg,官网事实 · 2026-07-13 棋手技能介绍,棋手资料 2026-07-13 至 2026-08-20（wiki chessplayerFacts）,wanxiangqiwiki.com chessplayerFacts,https://wanxiangqiwiki.com
player-xiaodaji,小妲己,棋手,技能「怦然心动」：每购买4张牌，小妲己随机获得1张效果牌。 秘技「心动节拍·秘技」：每触发5/4/3次怦然心动，获得1张秘技牌心之引力。 秘技牌「心之引力」：获得4次临时刷新。接下来4次刷新时，商店里的牌购买消耗-1。 专属「魅力无限」：每回合打出的第1张效果牌会触发两次。,,https://assets.wanxiangqiwiki.com/assets/players/小妲己_棋手头像.jpg,https://assets.wanxiangqiwiki.com/assets/players/小妲己_棋手立绘.jpg,官网事实 · 2026-07-13 棋手技能介绍,棋手资料 2026-07-13 至 2026-08-20（wiki chessplayerFacts）,wanxiangqiwiki.com chessplayerFacts,https://wanxiangqiwiki.com
player-changxiaoe,常小娥,棋手,技能「小菟助力」：使用技能，小菟随机助力1名英雄，使其等级+2。本场比赛中， 小菟每助力过1次，等级提升效果+1。 秘技「兔飞猛进·秘技」：己方英雄等级总和达到50/175/400级，获得1张秘技牌小菟送福。 秘技牌「小菟送福」：对场上的随机4名英雄各触发1次小菟助力，使其等级+2。 专属「月之特调」：小菟提供等级时，每5级使其额外获得1项随机属性： 15%攻速/2%物理和法术吸血/2点物理和法术防御力。 且每通过小菟助力提供65级时，获得1张小菟送福。,常小娥四人队|日落海整备流|大河图腾流,https://assets.wanxiangqiwiki.com/assets/players/常小娥_棋手头像.jpg,https://assets.wanxiangqiwiki.com/assets/players/常小娥_棋手立绘.jpg,官网事实 · 2026-07-13 棋手技能介绍,棋手资料 2026-07-13 至 2026-08-20（wiki chessplayerFacts）,wanxiangqiwiki.com chessplayerFacts,https://wanxiangqiwiki.com
player-zhuangxiaoyu,庄小鱼,棋手,技能「梦境游戏」：庄小鱼升级时，会随机获得1张效果牌。 秘技「美梦成真·秘技」：升到5级和6级，各获得1张秘技牌如梦似幻。 秘技牌「如梦似幻」：消耗8能量，基于场上阵容获取一套梦幻手牌。 专属「引擎升级」：获得1张【梦幻引擎】：将商店替换为梦幻商店。 若棋手生命值不高于30时战斗失败，则重复获得。 专属效果「梦幻引擎」：根据场上的阵容，将商店替换为梦幻商店。,,https://assets.wanxiangqiwiki.com/assets/players/庄小鱼_棋手头像.jpg,https://assets.wanxiangqiwiki.com/assets/players/庄小鱼_棋手立绘.jpg,官网事实 · 2026-07-13 棋手技能介绍,棋手资料 2026-07-13 至 2026-08-20（wiki chessplayerFacts）,wanxiangqiwiki.com chessplayerFacts,https://wanxiangqiwiki.com
