id,name,type,quality,faction,cost,buy_energy,sell_energy,skill_summary,original,awakening,attackStyle,attackDistance,lineups,priority,image,version,source,source_url
hero-sulie,苏烈,英雄牌,1,河洛,3,3,1,卡面：牺牲：苏烈的等级永久+2。 技能「豪烈万军」：苏烈旋转1周，对周围敌人造成80+80%物理攻击力的物理伤害，并降低其4点物理防御，持续5秒。,牺牲：苏烈的等级永久+2。,牺牲：苏烈的等级永久+4。,近战,1,常小娥四人队,1,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/95674d4e1c3d57aa881d611c2b5e543c055a6d6ef1eb7d0d74a48622dd6a5fca.webp,官方 2026-08-28,官方卡牌资料,https://wanxiangqiwiki.com/explore/hero-sulie
hero-yao,曜,英雄牌,1,逐鹿,3,3,1,卡面：你的英雄合成提升的等级+1。 技能「逐星」：曜化作星辰对当前目标造成70+120%物理攻击力的物理伤害。,你的英雄合成提升的等级+1。,你的英雄合成提升的等级+2。,近战,1,,0,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/f9c15a3064752a838e8ac74b611a686b4621ec0b18bc813fd6eed49d5c436be9.webp,官方 2026-08-28,官方卡牌资料,https://wanxiangqiwiki.com/explore/hero-yao
hero-sunbin,孙膑,英雄牌,1,逐鹿,3,3,1,卡面：你的英雄每释放3次技能，该英雄等级永久+1。 技能「时空爆弹」：孙膑向目标敌人投掷1枚定时炸弹，2秒后爆炸对其及附近1格内的敌人造成50+100%法术攻击力的法术伤害。,你的英雄每释放3次技能，该英雄等级永久+1。,你的英雄每释放3次技能，该英雄等级永久+2。,远程,4,,0,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/a4d6c64681e72cf31aad66f9f52625aa51a56ed7a800d757f347d293e9161ff9.webp,官方 2026-08-28,官方卡牌资料,https://wanxiangqiwiki.com/explore/hero-sunbin
hero-5031,狂铁,英雄牌,1,日落海,3,3,1,卡面：整备：阿科米亚核心的等级+2。 技能「碎裂之击」：狂铁挥舞2次武器，每次挥击对身前的敌人造成50+100%物理攻击力的物理伤害。,整备：阿科米亚核心的等级+2。,整备：阿科米亚核心的等级+2，触发2次。,近战,1,日落海整备流,1,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/be5d39d60026de3b76bc64a2265c135162cf60ce98eba2fa58a08051798fd938.webp,官方 2026-08-28,官方卡牌资料,https://wanxiangqiwiki.com/explore/hero-5031
hero-1111,孙尚香,英雄牌,1,三分之地,3,3,1,卡面：登场：获得1次免费刷新。 技能「红莲爆弹」：孙尚香朝目标敌人发射1发弩炮，造成50+100%物理攻击力的物理伤害，并降低命中敌人50%物理防御，持续5秒。,登场：获得1次免费刷新。,登场：获得2次免费刷新。,远程,4,,0,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/5c3f7bb55432589d0bdc208f17aa513cfcafe52e4e7f6fccdea3ca0a3293d464.webp,官方 2026-08-28,官方卡牌资料,https://wanxiangqiwiki.com/explore/hero-1111
hero-1971,弈星,英雄牌,1,无阵营,3,3,1,卡面：棋手升级时，棋手经验+2。 技能「万变之局」：弈星选择敌人最多的1排，画出1个虚空棋盘，1.5秒后棋盘完全成型，对范围内的敌人造成100+50%法术攻击力的法术伤害。,棋手升级时，棋手经验+2。,棋手升级时，棋手经验+4。,远程,4,日落海整备流,1,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/03356edc5b10dae549d3dcf50c7abcc504e9d4930db18e1a8a3b1c6ff534fa47.webp,官方 2026-08-28,官方卡牌资料,https://wanxiangqiwiki.com/explore/hero-1971
hero-1821,干将莫邪,英雄牌,1,大河流域,3,3,1,卡面：干将莫邪在场时，获得普通装备双剑·雄。 技能「雌雄双剑」：干将莫邪释放1对飞剑，对敌人造成100+50%法术攻击力的法术伤害。,干将莫邪在场时，获得普通装备双剑·雄。,干将莫邪在场时，获得普通装备双剑·雄及双剑·雌。,远程,4,大河图腾流,1,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/bfc87257896d76e2be80e76f0c08895532f9ba4d33d9489317aed967d3c60122.webp,官方 2026-08-28,官方卡牌资料,https://wanxiangqiwiki.com/explore/hero-1821
hero-1731,李元芳,英雄牌,1,河洛,3,3,1,卡面：整备：对距离最近的【河洛】英雄使用1张古币。 技能「谍影重重」：被动：李元芳技能造成伤害会叠加印记，叠满3层引爆印记造成100%物理攻击力的物理伤害。 主动：李元芳丢出飞镖造成150%物理攻击力的物理伤害。,整备：对距离最近的【河洛】英雄使用1张古币。,整备：对距离最近的【河洛】英雄使用1张精致古币。,远程,4,,0,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/d4ac29f7f6d6558e933bef5cfe33b8062f2890fb12447b79181c45d20404d4f1.webp,官方 2026-08-28,官方卡牌资料,https://wanxiangqiwiki.com/explore/hero-1731
hero-1681,牛魔,英雄牌,1,无阵营,3,3,1,卡面：凯旋：获得1能量。 技能「山崩地裂」：牛魔短暂蓄力后以巨斧猛力劈向当前的目标敌人，自身获得持续4秒的80点护盾并造成30+100%物理攻击力的物理伤害。,凯旋：获得1能量。,凯旋：获得2能量。,近战,1,日落海整备流|大河图腾流,1,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/17d426e042455558414bf57749066b45dc6eb80a3df2884c4759e776ec2c42fe.webp,官方 2026-08-28,官方卡牌资料,https://wanxiangqiwiki.com/explore/hero-1681
hero-5141,亚连,英雄牌,2,日落海,3,3,1,卡面：整备：你穿戴装备最多的1名【日落海】英雄等级+2，且阿科米亚核心等级+1。 技能「流星斩」：被动：亚连使用“赤影”攻击时造成法术伤害，使用“守心”攻击时造成物理伤害，双剑合击时造成真实伤害。且普攻和技能伤害可以暴击。 亚连对敌人造成伤害时会获得怒气层数，每层为自身提供2%的伤害减免，最多10层。 主动：亚连挥舞双剑，对前方目标进行3次快速斩击，分别造成65%法术攻击力的法术伤害和2次65%物理攻击力的物理伤害。,整备：你穿戴装备最多的1名【日落海】英雄等级+2，且阿科米亚核心等级+1。,整备：你穿戴装备最多的1名【日落海】英雄等级+2，且阿科米亚核心等级+1，触发2次。,近战,1,日落海整备流,1,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/b32a683d41aaf7fb1310bb13201f955b90023a20cfd861e733e9fdfddfdd2d5d.webp,官方 2026-08-28,官方卡牌资料,https://wanxiangqiwiki.com/explore/hero-5141
