id,name,quality,subtype,equipmentType,combatCategory,modifier_keys,original
equipment-643503,魔女斗篷,2,普通装备,防御装备,防御,,法术防御力+30。战斗开始时，获得等级x5点法术护盾。
equip-643602,极寒风暴,2,普通装备,防御装备,防御,,唯一。受到普攻时，降低目标20%攻击速度，持续2秒。被单一目标普攻5次后，远程目标将被冻结1秒，近战目标减半。
equipment-643805,御灵之纱,2,普通装备,法术装备,攻击,,唯一。战斗开始时，获得等级×15点护盾。护盾被击破时对周围1格敌人造成1秒眩晕，击破者翻倍。
equipment-643804,生命魔典,2,普通装备,通用装备,功能,,唯一。受到伤害时会为自身和周围1格的己方单位恢复5%最大生命值，冷却2秒。
equipment-643803,炽热支配者,2,普通装备,通用装备,功能,,唯一。首次受到控制效果时，获得300点护盾并在接下来的15秒内免疫控制效果（压制除外）。
equip-book,贤者之书,2,普通装备,法术装备,攻击,,唯一。法力值上限-10。释放技能后获得20%基础法术攻击力，最多叠加6层。
equipment-643304,铸梦·逐风,2,普通装备,物理装备,攻击,,唯一。战斗开始及之后每过8秒，快速进行4次普通攻击。
equip-643103,无尽巨剑,2,普通装备,物理装备,攻击,,暴击率+30%，暴击效果+60%。暴击效果不可叠加。
equip-643104,制裁之剑,2,普通装备,通用装备,功能,,唯一。造成伤害时降低目标30%生命恢复及护盾效果，持续10秒，不可叠加。若为普通攻击，效果提升至70%。
equipment-643105,纯净苍穹,2,普通装备,法术装备,攻击,,唯一。每2秒获得10点法术攻击力，同时清除自身负面状态。
equipment-643705,魔律之刃,2,普通装备,通用装备,功能,,唯一。释放技能时，35%概率重复释放一次。每有7级，额外提升1%概率。
equipment-643202,虚无法杖,2,普通装备,法术装备,攻击,,唯一。获得15点法术防御穿透。
equip-643205,寒霜侵袭,2,普通装备,物理装备,攻击,,唯一。普通攻击减少目标15%移速，持续5秒，最多叠加5层。叠满后目标受到的伤害提高20%，持续5秒，冷却时间10秒。
equip-643208,自然法杖,2,普通装备,法术装备,攻击,,唯一。法术攻击力+20%，远程穿戴者每消耗40点法力值（近战80点法力值）会将随机1名敌人变成小猪，持续2秒。
equip-643207,金色圣剑,2,普通装备,法术装备,攻击,,唯一。获得30%（+15%法术攻击力）攻击速度。每次普通攻击附带20（+30%法术攻击力）点法术伤害。
equipment-643704,红魔,2,普通装备,通用装备,功能,,唯一。周围1格没有友军时，获得25%伤害加成。每承受3%最大生命值的伤害，获得1%伤害加成，上限100%。
equip-643301,影牙,2,普通装备,物理装备,攻击,,攻击速度+50%。
equipment-643302,破晓,2,普通装备,物理装备,攻击,,每次普通攻击降低目标3点物防，持续5秒。目标物防首次降为0时，附加1次目标15%最大生命值的物理伤害。
equipment-641010,凝渊,2,普通装备,通用装备,功能,,唯一。暴击率+20%。每次受击时提升1%暴击率，暴击率达到100%时提升100%移动速度。
equipment-641015,日渊,2,普通装备,物理装备,攻击,,唯一，限定远程英雄。普通攻击会释放飞箭，对生命值最低的2名敌人造成45%物理攻击力的物理伤害。
equip-643703,名刀·司命,2,普通装备,通用装备,功能,,唯一。穿戴者首次受到致命伤害时会进入无敌和不可选中状态，持续1.5秒。
equipment-643401,痛苦面具,2,普通装备,法术装备,攻击,,唯一。单次魔法伤害超过目标最大生命值的8%时会使目标点燃：每秒造成75%法术攻击力的真实伤害，持续3秒。
equip-643402,法源之杯,2,普通装备,通用装备,功能,,唯一。每秒回复5点法力值。
equipment-643403,破茧之衣,2,普通装备,通用装备,功能,,唯一。战斗开始时，法力值+15，同时眩晕敌方等级最高3名英雄中的随机1名，持续1秒。目标每有10级，眩晕时间增加0.5秒，上限5秒。
equipment-643404,聚灵水晶,2,普通装备,通用装备,功能,,唯一。受击时额外获得10点法力值，最多100点。达到上限后恢复20%最大生命值。
equipment-643702,冥王,2,普通装备,物理装备,攻击,,唯一。穿戴者周围1格每有1个敌方单位，获得10点物理防御和15%基础物理攻击力。
equip-overlord,霸者重铠,2,普通装备,防御装备,防御,damageReduction=40|reductionNote=生命值高于70%,唯一。生命值高于70%时获得40%伤害减免。
equip-643502,不死鸟之眼,2,普通装备,防御装备,防御,,唯一。增加15%基础生命值，生命恢复和护盾效果提升30%。
equipment-643604,反伤重甲,2,普通装备,防御装备,防御,,唯一。将受到伤害的30%以真实伤害回敬给目标。
equipment-643504,红莲炎甲,2,普通装备,防御装备,防御,,唯一。每2秒对周围1格敌人造成20（+5%穿戴者最大生命值）点法术伤害，并降低目标50%生命恢复和吸血效果，持续3秒。
equipment-643603,近卫荣耀,2,普通装备,防御装备,防御,,唯一。战斗开始时，周围1格己方单位获得10点物理和法术防御，穿戴者获得双倍效果，不可叠加。
equip-643601,不祥征兆,2,普通装备,防御装备,防御,,唯一。战斗前15秒，格挡50%普通攻击伤害，若攻击者攻速高于1.5，则格挡70%普通攻击伤害。
equip-life-orb,护命灵珠,3,天赋装备,通用装备,,damageIncrease=25|increaseNote=拥有护盾时,唯一。每4秒获得基础生命值25%的护盾。拥有护盾时伤害提升25%，护盾被击破则移除。
equipment-41128,月影之力,3,特殊装备,通用装备,,,【日落海】专属装备 生命值上限+15%。唯一被动：露娜释放2次技能后，将释放1次【月下无限连】（仅露娜穿戴时生效，每场战斗限1次）。
