id,condition,action,target,budget,exception
D-ENERGY-BUY-HERO,商店出现当前阶段买牌优先级中的英雄，且能量 ≥ 3,购买,该英雄牌,3 能量/张,转瞬牌购买后须本回合打出；转瞬出售不得能量。人口已满且该牌与场上同名：购买后打出合成。人口已满且不同名：先出售低优先级已上阵英雄（+1）再上阵，或留在手牌（手牌上限 unknown）。
D-SELL,手牌或场上存在当前阶段已过期的过渡牌（弈星、牛魔、干将莫邪），或人口不足需要空位,出售,过渡英雄牌或已上阵过渡英雄,收益 +1 能量；转瞬出售收益 0,牛魔若仍需凯旋能量且本回合可能获胜，可留到战斗后再卖。
D-LEVEL-T2,阵容为日落海或大河，且当前为第 2 回合,将棋手升到 2 级,棋手等级 2,升级按钮显示值 unknown；官方图文要求第 2 回合升 2 级,能量不够买核心 1 阶牌时，先买核心再升级。
D-LEVEL-T3,回合 4-7，需要 3 阶核心（安琪拉/朵莉亚，或马超/瑶，或张良/少司缘）,将棋手升到 3 级,商店 3 费层 30%；wiki 人口 3 级 +1 上阵,升级按钮显示值 unknown,嫦娥四人队已齐 4 人且不缺 3 阶时，停止为人口而升级。
D-LEVEL-T5,回合 8-11，需要 5 阶核心（海诺/海月/敖隐/东皇）或官方要求升 5 级,将棋手升到 5 级,商店 5 费层 9%；wiki 人口 5 级 +1 上阵,升级按钮显示值 unknown,嫦娥四人队维持 4 人，升 5 级只为海月的 9% 五费层，不上第 5 人。
D-LEVEL-T6,棋手可升 6 级,升级并领取专属天赋,6 级专属（闹闹打成一片 / 常小娥月之特调 / 瑶妹巨型玩偶）,升级按钮显示值 unknown,无。
D-REFRESH,商店没有当前阶段核心牌,刷新,新商店,刷新基础消耗 unknown，递增 unknown，单回合上限 unknown。因此自动化默认：只使用卡面/登场给的免费刷新（例：孙尚香登场 +1 次免费刷新）。付费刷新次数不设数字。,官方大河图文写 4-7 回合“用免费刷新找虞姬、鬼谷子、张良、少司缘”。出现免费刷新次数时全部用于这四张。
D-LOCK-SHOP,任何时候,锁店,当前商店,unknown：官方与 wiki 均未给出锁店按钮、消耗、是否跨回合,不执行锁店，直到有实机证据。
D-BOARD-FULL,上阵人数已满，商店有更高优先级英雄,出售场上最低优先级英雄（+1 能量）→ 购买（-3）→ 上阵,替换位,净消耗 2 能量,新牌与场上同名：直接打出合成，不占新人口。
D-HAND-FULL,手牌无法再买,先打出可合成或可上阵的牌；仍满则出售最低优先级手牌 +1,腾出手牌格,手牌上限张数 unknown（教学截图可见“手牌 8/5”，含义未官方定义，不当作上限）,转瞬牌优先打出，避免回合结束销毁。
D-HP-DEFEND,生命值 ≤ 20（起始 60 的 1/3，推断阈值）或进入 8-11 回合（战败固定伤害 4、上限 15）,本回合优先保证前排成型，买能立刻上阵的整备/图腾/苏烈，推迟为 5 费搜牌而花光能量,存活,至少保留 0 能量以上用于下一回合买 1 张 3 费牌的具体保留值 unknown；能确定的是未使用能量可累积,证据层级=推测。官方未给“血量低于 X 则停刷新”。
D-AUCTION-BID,进入拍卖（wiki 校准回合 4/8/12）,选择拍品并出价,见各阵容 auction_targets,出价无上限；失败不扣能量。最高出价数字 unknown。自动化：核心缺失时对核心英雄牌出价；已有核心则对阵容效果牌/装备出价；生命值越低分红比例越大，低血时可降低抢拍意愿、吃分红。,出价相同先出价者得，要拍则尽早点出价。
D-AUCTION-SKIP,拍品与三套选定阵容都无关，或能量不足以在拍卖后仍买 1 张 3 费英雄,放弃抢拍，等分红与地面掉落,掉落：互动道具 / 1 点能量 / 1-2 阶英雄牌,0,生命值已很低时，分红本身就是收益。
D-TALENT-PICK,升级后出现 3 个天赋,按当前阵容 required_talents 优先级选 1 个；没有命中则选给能量、给本阵营牌、给 1-3 阶复制（复印机）,1 张天赋,免费；白银后可全局刷新 1 次,大河图腾流不要优先「大河来客」（直接给刘邦，开团拆全部图腾）。
D-EQUIP-ASSIGN,获得装备（投放回合 1/4/8/12/16 或效果牌/天赋）,按当前阵容 equipment.priority 穿戴,指定英雄,0 能量,亚连整备吃“穿戴装备最多的日落海”，可把件数堆到要加等级的 C。瑶开团分享首件普通装备，给瑶的第一件应为希望全队获得的装。
D-NAONAO-SKILL,棋手=闹闹，且已选定日落海，能量 ≥ 1,使用技能获得 1 张日落海英雄牌,日落海牌,1 能量，优先于商店 3 费购买,开局候选不含日落海：本局改打大河或四人队，或接受随机阵营。
D-CHANGXIAOE-SKILL,棋手=常小娥，场上至少 1 名英雄,每回合使用小菟助力,随机 1 名英雄等级 +2（之后每次助力效果 +1）,技能费用 unknown；有按钮就放,小菟送福：官方建议场上至少 4 名英雄再使用。
D-YAOMEI-DEER,棋手=瑶妹,开局即有小鹿；每 3 回合在神奇小鹿五选一中优先嘲讽/重装/共鸣（前排与等级）,小鹿前排,0,分支具体按钮原文以卡面为准。
D-SUNSET-FINAL-SELL,日落海整备流，决赛圈，已有能量汲取天赋,卖掉其他日落海，只留雅典娜 + 一个 C（安琪拉或海诺）,核心等级集中分配（官方：单英雄分配上限 50%）,每卖 1 个场上英雄 +1 能量，且核心获得其等级,无能量汲取时，官方仍写可卖掉非 C，核心分配机制本身仍在。
D-DAHE-EQUIP-TRANSFER,大河图腾流，回合 ≥ 8 且敖隐已上阵,将寒霜侵袭、破晓从虞姬转到敖隐,敖隐,0,无敖隐则装备留虞姬。
